Name,Code,UOM,Stock
Char Siew Sauce 叉烧汁,62CSSG2ZVI00259,1.34kg/pkt,127
Chicken Rice Chilli 鸡饭辣椒,62CRCG2ZVI00246,1.5kg/pkt,145
Chicken Soya Sauce 鸡生抽,62CSSG1ZVF00258,2kg/pkt,51
Chilli Crab Paste MT SHG 辣蟹酱,62CGPG2ZVI01594,2kg/pkt,13
Chilli Crab Sauce SHG 辣蟹酱,62SHGG2ZVI00243,2kg/pkt,48
Crab Chowder SHG 香蟹汤,62CCSG2ZVI01850,2kg/pkt,41
Curry Sauce 咖喱鱼头总酱,62CS0G2ZVI02594,2kg/pkt,92
Curry Sauce 菜饭咖喱总,62CS0G2ZVI00249,1.2kg/pkt,61
HA Balachan Chilli 虾米辣酱,62HBCG1ZVI02625,1kg/pkt,21
HA Oyster Sauce 蚝油酱,62HOSG2ZVI02621,5kg/pkt,0
HA Phad Thai Sauce 泰式甜面酱,62HPTG1ZVI02624,5kg/pkt,2
Hakka Chilli Sauce 客家叁巴辣椒,62HCSG2ZVI01011,2kg/pkt,11
Japanese Curry Paste 日式咖喱酱,62JCPG2ZVI00268,1.125kg/pkt,34
Laksa Paste SHG 叻沙酱,62SHGG2PVI00052,1kg/pkt,12
Oyster Sauce 烧腊蚝油酱,62OS0G2ZVI00276,0.5kg/pkt,6
Rice Sauce 烧腊总酱,62RS0G1ZVF00280,2.1kg/pkt,0
Sambal Chilli 烧腊叁巴辣椒,62SC0G2ZVI00284,1kg/pkt,74
Soya Sauce 鸡蛋酱青,62SS0G2ZVI00299,1kg/pkt,22
Spaghetti Sauce 意大利面酱(新),62SS0G2ZVI02476,2kg/pkt,17
Teriyaki Sauce 日式烧烤酱,62TS0G2ZVI00302,1kg/pkt,11
Tom Yam Sauce 煮炒东炎酱,62TYSG2ZVI00306,2kg/pkt,6
Truffle Shoyu Sauce SHG 松露醬,62SHGG2ZVI01381,2kg/pkt,2
Wanton Mee Sauce 面汁,62WMSG2ZVI00307,2kg/pkt,29
Dried Garlic 炸蒜米片,33DG0R2ZVF00590,1kg/pkt,9
Dried Garlic 炸蒜米碎,33DG0G2ZVF01782,0.5kg/pkt,15
Green Sour Chilli 青辣椒,33GSCT2ZVI00596,3kg/pkt,3
QF Premium Shitake Mushroom 一级靓花菇,33PSMG1ZQF01273,2kg/pkt,40
QF Premium Shitake Mushroom 一级靓花菇,33PSMG1ZQF01273,0.5kg/pkt,0
SBC Pandan Syrup 班兰糖浆,33SPSG1PQF01931,1kg/pkt,11
Stewed Mushroom 煮炒焖香菇,33SM0G2ZVI00613,2kg/pkt,4
Peanut 花生,41P00T2PVT00060,1kg/pkt,21
Local Chinese Sausage 本地腊肠,45LCST2ZVT00683,1kg/pkt,23
KK Salted Fish 永盛咸鱼,43KKST2PVT00705,0.5kg/pkt,7
Small Ikan Bilis 小江鱼仔,43SIBT2ZVT00706,1kg/pkt,9
Cooked Fish Ball (M) 白鱼丸,71CFBT2ZVI00102,0.45kg/pkt,24
Asam Paste 亚叁酱(新),62AP0G2ZVI02099,2kg/pkt,19
Fried Pork Oil 炸猪油,11FPOG2ZVI00315,2kg/pkt,6
Pork Crackling 炸猪油渣,11PC0G2ZVI00348,0.5kg/pkt,9
Pork Oil ZN 猪油,11POZG2ZVI01983,2kg/pkt,5
Premium Fried Pork Oil 特级炸猪油,11FPOG2ZVI01614,2kg/pkt,14
Black Sauce 黑士酱油,62BS0G2ZVI00238,1kg/pkt,8
Chicken Feet With Mushroom 花菇焖凤爪,12CFMG2ZVI00430,0.55kg/pkt,63
Fried Chicken Feet 炸鸡脚,12FCFG2ZVI00449,2kg/pkt,8
Herbal Chicken 药材走地鸡,12HC0G1IVF00453,pc,194
Herbal Kampung Chicken 滋补药材甘榜鸡,12HKCG2IVI00455,pc,161
Stewed Chicken Feet 焖鸡脚,12SCFG2ZVI00463,2kg/pkt,15
Black Fungus Dumpling Paste 木耳饺子馅,74BFDG1ZVF02343,2kg/pkt,9
Cooked Collar Char Siew 熟叉烧五花肉,11CCCG2ZVI01601,1kg/pkt,0
Lu Pork Knuckles 1.0-1.2kg 卤元蹄,11LPKG2IVI01227,pc,38
PTH Marinated BBQ Baby Pork Rib 秘制烤排,11MBBG2ZVI02615,kg,5.77
Bolognese Sauce SHG 牛肉酱,62BSSG2ZVI01881,2kg/pkt,7
Duck Salt 鸭华盐,46DS0R1ZVF00924,3kg/pkt,3
Pork Belly Salt 烧肉华盐,46PBSG2ZVI00971,2kg/pkt,23
Angelica Salt 当归华盐,46AS0G2ZVI00901,1.5kg/pkt,13
